Player,Runs Scored,Batting Strike Rate,Batting Average,No of Sixes,No of Fours,Balls Faced,Total career dot balls played,No of Centuries Scored,No of Half Centuries Scored,Wickets Taken,3 Wicket Hauls,5 Wicket Hauls,Bowling Strike Rate,Bowling Economy,Bowling Average,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,Maidens Bowled,Age of the Player,Last Auction Price Sold (in Crs),Category,Country,Role,Capped/Uncapped
Synthetic_Player_54,945.89,88.89,29.91,42,61,762,239,0,4,21,2,0,7.77,8.36,17.76,382,11,22,99,0,27,0.14,International,Netherlands,Fast-All Rounder,Uncapped
Synthetic_Player_55,1751.40,170.17,29.22,67,145,1276,395,0,10,35,1,0,4.39,8.87,35.65,1153,43,86,233,0,34,1.25,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_56,1639.60,147.03,30.31,74,123,1249,409,0,9,28,2,0,5.04,7.95,26.24,742,28,61,190,0,31,0.48,International,USA,Fast-All Rounder,Capped
Synthetic_Player_57,2001.81,230.98,33.58,99,162,1430,428,1,12,30,1,0,5.23,8.50,24.94,799,33,63,197,0,35,2.82,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_58,580.39,130.65,18.29,31,36,383,149,0,1,82,5,1,5.70,7.82,21.30,1896,74,142,574,3,30,2.05,International,West Indies,Fast-All Rounder,Capped
Synthetic_Player_59,2019.52,141.26,25.45,106,150,1375,465,0,9,88,5,0,5.20,8.88,28.71,2484,89,206,503,0,32,0.93,International,West Indies,Fast-All Rounder,Capped
Synthetic_Player_60,1896.52,188.47,32.35,69,166,1364,418,0,14,1,1,0,3.10,9.51,50.56,293,12,24,77,1,30,2.49,International,South Africa,Spin-All Rounder,Capped
Synthetic_Player_61,1710.05,165.66,36.01,85,124,1199,324,0,9,26,1,0,5.81,9.06,26.08,634,25,52,118,0,35,1.97,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_62,492.17,112.04,18.59,26,32,423,144,0,1,34,2,0,3.76,9.15,40.41,1397,66,91,287,1,30,1.61,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_63,2935.35,159.63,24.93,158,243,2062,708,0,16,58,1,0,3.82,8.59,35.01,1963,69,110,392,0,38,3.78,International,Australia,Spin-All Rounder,Capped
Synthetic_Player_64,377.19,125.87,15.70,13,29,324,112,0,0,59,4,0,4.68,8.12,27.54,1665,71,136,429,2,29,2.27,International,India,Spin-All Rounder,Uncapped
Synthetic_Player_65,1292.73,146.58,23.32,66,94,925,301,0,3,95,7,1,5.30,8.11,23.74,2453,82,191,636,2,28,3.58,International,England,Fast-All Rounder,Capped
Synthetic_Player_66,362.26,144.73,23.04,14,27,300,111,0,2,20,1,0,5.16,7.97,26.78,586,19,40,155,0,27,0.24,International,Ireland,Fast-All Rounder,Capped
Synthetic_Player_67,2792.04,215.10,26.66,143,215,2049,615,0,10,127,10,1,5.36,9.06,28.95,3530,119,261,679,1,33,7.07,International,India,Fast-All Rounder,Capped
Synthetic_Player_68,1393.69,523.64,31.42,64,103,1015,334,0,6,35,2,0,5.85,8.58,23.82,955,32,78,252,0,30,0.87,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_69,730.20,132.40,21.14,30,60,575,213,0,3,19,1,0,3.62,7.05,33.90,606,26,45,180,1,29,0.75,International,Sri Lanka,Spin All Rounder,Capped
Synthetic_Player_70,1702.71,145.83,23.35,78,103,1200,401,0,3,106,3,0,4.24,7.47,27.16,3152,137,197,891,2,32,10.91,International,India,Spin-All Rounder,Capped
Synthetic_Player_71,561.96,163.07,26.74,30,44,437,144,0,2,38,3,0,6.49,9.01,25.88,1004,28,88,197,0,27,1.18,International,Netherlands,Fast-All Rounder,Capped
Synthetic_Player_72,1329.45,163.73,26.28,54,115,1010,364,0,8,24,0,0,3.79,8.06,36.47,790,34,61,197,1,33,0.03,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_73,185.20,134.58,12.80,11,2,90,48,0,-1,51,2,0,5.09,7.82,25.18,1519,68,100,398,1,30,2.07,International,India,Spin-All Rounder,Uncapped
Synthetic_Player_74,3307.90,193.64,27.65,159,242,2402,766,0,12,221,21,1,5.95,8.40,30.16,5656,190,435,1291,3,40,0.65,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_75,1789.06,131.05,28.66,59,150,1417,447,0,11,36,2,0,4.36,7.77,31.26,1094,52,84,296,1,32,0.28,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_76,1371.28,147.53,21.98,80,92,914,324,0,4,156,17,0,5.65,8.44,27.60,3834,146,324,995,3,32,2.44,International,Netherlands,Fast-All Rounder,Capped
Synthetic_Player_77,1512.06,158.15,19.59,74,116,1188,391,0,4,175,13,0,4.10,7.08,31.63,4753,197,294,1362,3,34,15.29,International,India,Spin-All Rounder,Capped
Synthetic_Player_78,2237.72,142.04,25.30,112,169,1638,511,0,10,100,6,0,4.78,8.82,28.88,2828,98,218,576,0,31,0.80,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_79,757.94,359.26,37.64,26,68,487,152,1,4,20,0,0,5.14,10.36,34.52,546,19,36,146,0,24,12.90,International,USA,Fast-All Rounder,Capped
Synthetic_Player_80,2550.79,208.52,24.90,151,194,1750,592,0,11,62,1,0,4.69,8.96,32.88,1960,72,133,352,1,36,2.04,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_81,640.72,143.43,23.68,28,51,488,170,0,3,24,2,0,4.48,8.51,35.53,815,31,57,209,1,31,1.93,International,Sri Lanka,Fast-All Rounder,Capped
Synthetic_Player_82,246.77,169.24,17.53,17,23,186,89,0,2,62,3,1,5.76,7.24,18.63,1255,47,94,441,2,28,1.75,International,South Africa,Spin-All Rounder,Capped
Synthetic_Player_83,2967.76,177.00,26.95,149,244,2064,683,0,18,45,2,0,4.03,8.22,31.78,1445,58,79,347,1,36,2.42,International,Australia,Spin-All Rounder,Capped
Synthetic_Player_84,981.79,131.83,32.14,44,65,768,212,0,5,13,0,0,7.29,9.35,19.71,301,12,34,43,0,27,1.15,International,USA,Fast-All Rounder,Uncapped
Synthetic_Player_85,2196.59,176.92,24.79,126,154,1597,514,0,5,174,16,1,5.58,8.17,30.36,4283,158,326,1149,5,30,4.96,International,England,Fast-All Rounder,Capped
Synthetic_Player_86,1260.34,142.73,24.19,52,103,925,307,0,5,20,2,0,3.03,8.38,47.34,678,28,40,153,0,29,5.04,International,India,Spin-All Rounder,Capped
Synthetic_Player_87,834.89,121.22,21.35,47,56,604,214,0,2,86,6,1,5.43,8.01,22.94,2032,74,165,590,3,27,2.56,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_88,1893.16,139.90,23.96,76,145,1390,413,0,5,136,13,0,5.01,8.78,27.92,3935,155,324,899,1,34,9.33,International,India,Fast-All Rounder,Capped
Synthetic_Player_89,545.36,131.87,28.31,28,40,433,146,0,4,23,1,0,4.37,10.10,44.33,798,35,58,152,0,29,3.53,International,India,Fast-All Rounder,Capped
Synthetic_Player_90,617.15,141.96,24.28,28,48,483,186,0,3,26,2,0,4.69,7.65,28.50,729,25,51,183,1,28,0.82,International,Sri Lanka,Fast-All Rounder,Capped
Synthetic_Player_91,1489.44,146.14,23.29,54,126,1128,387,0,4,63,4,0,4.07,7.66,31.48,1874,75,123,485,1,34,2.26,International,India,Spin-All Rounder,Capped
Synthetic_Player_92,1921.19,256.10,28.02,102,154,1273,444,0,9,46,1,0,5.08,9.36,30.89,1402,52,98,272,0,34,2.46,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_93,1619.42,154.45,20.68,60,101,1168,359,0,3,161,14,1,4.43,7.94,30.78,4645,195,322,1163,2,37,11.65,International,India,Spin-All Rounder,Capped
Synthetic_Player_94,1666.24,141.07,23.26,75,137,1340,463,0,7,79,4,0,4.69,7.86,26.28,2258,86,154,569,2,30,0.02,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_95,1431.38,209.40,39.64,57,103,1080,284,0,5,3,-2,0,6.83,9.77,22.08,267,5,10,27,0,31,5.47,International,USA,Fast-All Rounder,Uncapped
Synthetic_Player_96,1296.55,142.13,31.55,66,101,930,299,1,8,36,2,0,5.46,9.37,34.95,920,45,83,180,1,34,10.89,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_97,124.23,130.13,17.74,1,16,79,16,0,0,1,1,0,3.95,7.72,33.90,248,26,13,98,0,27,2.17,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_98,1676.65,148.60,23.12,101,113,1299,435,0,5,132,7,0,5.30,7.91,24.61,3342,130,246,950,6,31,2.42,International,West Indies,Fast-All Rounder,Capped
Synthetic_Player_99,939.02,136.84,27.27,50,71,699,250,0,5,23,1,0,4.94,8.02,29.14,651,25,47,136,1,30,0.77,International,USA,Spin-All Rounder,Capped
Synthetic_Player_100,1582.76,153.55,27.38,85,121,1083,365,0,7,55,3,0,5.50,9.27,31.70,1625,60,133,315,0,33,3.57,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_101,993.69,133.40,13.34,66,95,963,321,0,3,163,8,0,4.27,7.36,28.89,4588,171,256,1280,4,35,9.48,International,India,Spin-All Rounder,Capped
Synthetic_Player_102,1666.03,143.17,22.17,67,149,1304,459,0,4,90,6,0,3.96,7.36,29.85,2661,97,169,690,1,35,2.88,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_103,1512.90,138.54,21.22,57,137,1265,417,0,3,83,7,0,4.02,7.58,31.18,2423,84,146,567,1,34,4.23,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_104,1038.96,130.19,22.46,42,90,772,269,0,5,15,1,0,2.61,8.55,48.64,506,27,32,143,0,28,2.58,International,Sri Lanka,Spin-All Rounder,Capped
Synthetic_Player_105,2262.46,167.87,30.07,129,172,1617,564,2,16,48,4,0,5.02,8.85,26.99,1382,58,116,275,1,32,6.74,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_106,653.35,70.23,26.59,29,43,531,160,0,3,10,1,0,8.98,8.81,16.90,178,5,5,50,0,26,0.43,International,Netherlands,Fast-All Rounder,Uncapped
Synthetic_Player_107,3455.75,129.10,29.69,160,262,2493,759,0,12,165,15,1,5.40,8.98,30.28,4716,170,366,962,1,39,8.92,International,India,Fast-All Rounder,Capped
Synthetic_Player_108,329.36,172.92,29.00,16,27,265,91,0,2,11,0,0,4.98,10.57,37.64,325,15,19,64,0,26,4.35,International,India,Fast-All Rounder,Capped
Synthetic_Player_109,574.29,130.74,19.08,22,38,465,164,0,1,50,2,0,4.14,8.10,32.10,1525,69,110,388,1,31,1.84,International,India,Spin-All Rounder,Capped
Synthetic_Player_110,3269.68,161.41,29.87,138,274,2285,764,2,25,51,5,0,4.10,7.62,24.41,1397,43,98,433,0,32,0.44,International,Australia,Spin-All Rounder,Capped
Synthetic_Player_111,1884.31,143.08,27.25,77,154,1410,469,0,10,60,3,0,4.75,8.02,29.34,1709,72,119,427,1,32,0.81,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_112,786.09,140.39,22.64,35,58,599,226,0,3,32,2,0,4.17,8.03,33.19,1020,41,77,245,1,29,0.34,International,Sri Lanka,Fast-All Rounder,Capped
Synthetic_Player_113,866.22,159.12,19.05,34,64,658,233,0,1,63,5,0,4.15,8.53,33.89,2065,85,168,503,1,32,2.30,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_114,1294.94,150.63,38.40,60,115,956,258,1,8,12,1,0,4.56,9.91,39.13,342,18,36,79,0,30,10.91,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_115,713.32,118.42,18.94,40,50,542,202,0,2,81,5,0,5.14,7.91,22.01,1993,75,158,614,2,27,3.00,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_116,1446.47,144.67,18.99,68,123,1225,413,0,4,129,7,0,4.14,7.33,28.41,3657,138,212,980,2,34,5.58,International,India,Spin-All Rounder,Capped
Synthetic_Player_117,1492.57,131.01,28.91,72,103,1089,369,0,7,49,2,0,5.37,8.14,24.47,1305,47,107,350,1,30,0.45,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_118,1220.32,150.65,25.61,48,97,892,305,0,6,26,1,0,3.82,8.33,39.57,865,35,59,200,0,31,2.08,International,Sri Lanka,Spin-All Rounder,Capped
Synthetic_Player_119,580.93,135.47,22.32,26,38,466,160,0,2,38,2,0,4.89,8.51,29.78,1154,46,88,273,1,27,0.42,International,Ireland,Fast-All Rounder,Capped
Synthetic_Player_120,539.88,142.20,24.02,25,36,320,118,0,3,9,0,0,4.33,8.12,33.26,330,16,19,95,0,25,0.24,International,Ireland,Fast-All Rounder,Capped
Synthetic_Player_121,422.52,89.43,23.72,20,32,375,114,0,2,20,1,0,9.61,9.18,19.13,510,21,27,127,0,28,1.45,International,India,Fast-All Rounder,Capped
Synthetic_Player_122,1004.30,137.28,23.02,36,83,760,263,0,4,21,1,0,3.42,7.86,39.57,813,32,42,204,1,32,1.06,International,Sri Lanka,Spin-All Rounder,Capped
Synthetic_Player_123,614.56,147.01,17.89,27,48,472,172,0,2,57,4,0,4.18,9.32,36.33,2122,88,194,479,2,31,0.49,International,India,Fast-All Rounder,Uncapped
Synthetic_Player_124,3298.39,134.63,39.16,165,259,2381,700,1,24,17,1,0,4.92,9.28,32.40,331,11,22,40,0,32,0.18,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_125,1732.64,153.36,27.66,89,131,1154,409,0,6,16,3,0,2.70,9.09,61.42,608,35,45,144,1,25,14.14,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_126,467.14,132.19,25.17,25,35,337,115,0,2,9,1,0,6.76,7.97,19.90,145,5,15,30,0,26,1.42,International,Netherlands,Spin All Rounder,Capped
Synthetic_Player_127,1200.16,331.94,32.89,47,88,912,287,0,5,19,0,0,8.07,8.84,18.27,416,11,15,117,0,31,2.36,International,South Africa,Spin-All Rounder,Uncapped
Synthetic_Player_128,2039.08,210.18,24.94,109,160,1477,472,0,7,94,6,0,5.17,8.85,27.72,2509,86,202,553,1,31,6.08,International,England,Fast-All Rounder,Capped
Synthetic_Player_129,1562.45,135.91,31.53,81,117,1084,330,0,8,40,2,0,6.01,9.37,31.05,1075,45,87,184,0,35,4.65,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_130,2534.69,327.04,27.09,118,194,1855,569,0,13,53,0,0,4.48,7.62,27.53,1552,59,87,461,2,35,0.30,International,West Indies,Spin All Rounder,Capped
Synthetic_Player_131,1454.46,131.56,18.42,66,151,1514,466,0,7,106,7,0,4.49,7.44,26.11,2854,105,175,732,4,31,0.03,International,England,Spin All Rounder,Capped
Synthetic_Player_132,1175.12,133.85,23.68,45,103,888,294,0,6,21,2,0,2.97,8.11,44.83,728,30,43,177,0,31,2.26,International,Sri Lanka,Spin-All Rounder,Capped
Synthetic_Player_133,809.52,143.89,21.03,33,75,691,232,0,3,40,3,0,3.79,8.74,37.87,1447,59,103,315,1,31,2.06,International,India,Spin-All Rounder,Capped
Synthetic_Player_134,200.98,109.29,11.47,8,3,130,63,0,0,116,8,1,5.21,8.00,26.03,3279,130,237,898,3,34,6.12,International,India,Spin-All Rounder,Capped
Synthetic_Player_135,2144.21,139.25,30.29,93,171,1526,487,0,13,44,3,0,4.84,8.15,27.15,1229,59,92,326,1,33,1.28,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_136,3122.89,154.71,25.22,174,211,2197,706,0,9,144,10,1,4.99,8.56,31.18,4010,143,274,870,2,36,5.32,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_137,1314.93,136.97,28.02,72,106,898,335,0,6,25,3,0,4.48,9.76,45.03,910,42,78,218,0,33,10.21,International,India,Fast-All Rounder,Capped
Synthetic_Player_138,887.22,153.37,23.94,49,55,594,227,0,5,30,2,0,4.86,7.46,24.17,769,33,66,250,0,22,1.74,International,USA,Spin All Rounder,Capped
Synthetic_Player_139,2710.25,179.30,27.84,136,192,1979,647,0,9,216,22,1,6.06,8.31,30.69,5412,193,432,1297,4,37,0.22,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_140,199.80,104.13,16.44,16,10,72,47,0,-1,65,5,1,6.32,8.06,20.32,1344,59,92,354,2,30,0.45,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_141,528.99,122.05,19.99,25,38,431,151,0,2,33,2,0,3.92,9.15,39.09,1382,60,98,283,1,29,0.92,International,England,Fast-All Rounder,Capped
Synthetic_Player_142,-161.66,157.96,10.29,3,5,123,-7,0,0,41,2,1,7.31,7.12,15.87,739,26,46,291,1,29,0.50,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_143,1356.28,159.27,20.54,71,98,994,344,0,4,117,5,0,4.51,7.41,25.40,3074,126,201,899,3,30,6.61,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_144,1198.24,131.83,19.66,51,104,816,213,0,3,141,17,1,6.24,9.50,24.31,3595,123,303,689,1,32,0.74,International,England,Fast-All Rounder,Capped
Synthetic_Player_145,1491.44,174.52,26.50,102,89,994,325,0,3,146,11,0,6.10,8.09,24.51,3190,125,298,1061,8,27,8.36,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_146,836.01,151.59,18.10,31,66,601,212,0,2,92,7,0,4.80,8.90,30.19,2813,105,260,658,2,32,1.40,International,India,Fast-All Rounder,Uncapped
Synthetic_Player_147,1082.18,143.73,26.46,54,93,785,300,0,7,-3,-1,0,3.12,8.61,44.16,43,5,2,-8,0,27,2.44,International,Sri Lanka,Spin-All Rounder,Capped
Synthetic_Player_148,1046.74,154.85,20.68,44,82,746,269,0,3,77,6,0,4.77,8.72,29.72,2324,88,215,556,1,31,1.31,International,India,Fast-All Rounder,Capped
