Player,Bowling Strike Rate,Bowling Economy,Bowling Average,Wickets Taken,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,3 Wicket Hauls,5 Wicket hauls,Maidens Bowled,Age of the Player,Last Auction Price Sold (in Crs),Category,Country,Role,Capped/Uncapped
Player_30,4.76,8.16,20.62,176,3232,117,172,1206,14,1,4,34,0.13,International,Australia,Pace Bowler,Capped
Player_31,8.76,7.89,23.61,194,4945,260,404,1649,14,2,4,34,2.75,International,Afghanistan,Spin Bowler,Capped
Player_32,4.27,8.77,25.87,100,1648,104,191,437,7,0,1,36,1.76,International,England,Pace Bowler,Capped
Player_33,4.60,8.19,25.32,124,3265,158,226,999,10,0,1,32,4.62,International,Bangladesh,Spin Bowler,Capped
Player_34,6.89,9.36,22.09,93,3139,69,115,473,17,0,1,37,1.90,International,Australia,Pace Bowler,Capped
Player_35,5.21,7.82,25.61,38,984,39,69,406,4,0,2,33,0.00,International,USA,Pace Bowler,Capped
Player_36,5.94,10.03,39.91,7,372,15,45,69,0,0,0,27,0.95,International,Sri Lanka,Pace Bowler,Capped
Player_37,14.70,8.59,25.93,52,1522,95,102,475,5,0,2,29,6.94,International,India,Spin Bowler,Uncapped
Player_38,10.09,9.31,28.34,47,1445,59,101,378,4,0,3,32,7.79,International,Netherlands,Pace Bowler,Capped
Player_39,5.09,7.81,20.63,359,6871,203,535,2560,34,5,10,32,0.36,International,Australia,Medium Pace Bowler,Capped
Player_40,6.81,7.90,19.28,183,3558,176,297,1233,15,0,4,31,3.98,International,Afghanistan,Spin Bowler,Capped
Player_41,6.18,9.33,24.30,101,2327,119,227,968,9,1,4,33,3.45,International,New Zealand,Pace Bowler,Capped
Player_42,4.07,7.21,26.50,147,3290,173,303,1414,9,1,5,29,1.20,International,Sri Lanka,Spin Bowler,Capped
Player_43,6.07,7.23,24.21,175,2767,147,331,1615,14,0,10,33,0.88,International,West Indies,Spin Bowler,Capped
Player_44,4.81,7.68,25.07,48,1200,41,72,264,3,0,0,31,0.87,International,Afghanistan,Spin Bowler,Capped
Player_45,4.23,9.07,20.21,255,5821,242,470,1774,32,1,3,35,0.00,International,Australia,Pace Bowler,Capped
Player_46,5.99,8.80,26.48,60,1300,60,160,307,5,0,0,30,0.07,International,Australia,Pace Bowler,Capped
Player_47,7.08,8.42,23.63,31,768,33,50,280,4,0,1,31,1.29,International,New Zealand,Pace Bowler,Capped
Player_48,5.15,8.22,18.94,117,2120,106,198,1015,10,1,3,32,11.72,International,South Africa,Pace Bowler,Capped
Player_49,6.61,9.95,40.66,26,878,60,75,193,1,0,1,27,4.36,International,Australia,Pace Bowler,Capped
Player_50,6.00,7.32,19.86,234,4417,118,328,2158,15,2,16,27,0.00,International,Afghanistan,Pace Bowler,Capped
Player_51,6.32,8.19,21.40,40,957,32,85,268,7,0,3,25,3.43,International,Sri Lanka,Spin Bowler,Capped
Player_52,10.58,9.94,30.02,47,1041,58,90,154,4,0,1,32,12.92,International,England,Pace Bowler,Capped
Player_53,5.09,7.26,26.56,32,784,49,33,240,4,0,1,26,0.48,International,Bangladesh,Spin Bowler,Capped
Player_54,6.82,9.14,21.49,140,4003,208,553,955,13,0,4,36,2.51,International,India,Pace Bowler,Capped
Player_55,3.77,8.67,35.41,22,501,38,55,143,1,0,0,28,2.28,International,Sri Lanka,Spin Bowler,Capped
Player_56,5.15,7.17,21.18,240,6758,184,368,2353,26,5,7,36,0.07,International,Afghanistan,Spin Bowler,Capped
Player_57,8.62,8.77,24.31,104,1840,56,214,512,6,0,2,30,4.68,International,India,Pace Bowler,Capped
Player_58,5.67,9.66,27.42,28,728,31,167,165,3,0,0,26,1.49,International,Australia,Pace Bowler,Capped
Player_59,4.63,8.64,22.47,207,4469,111,396,1440,29,1,2,32,1.29,International,New Zealand,Pace Bowler,Capped
Player_60,5.28,7.58,23.09,272,4561,226,271,1276,23,3,4,44,0.00,International,Netherlands,Spin Bowler,Capped
Player_61,5.37,9.06,26.00,70,1771,71,115,312,6,0,0,28,0.07,International,Sri Lanka,Pace Bowler,Capped
Player_62,4.56,7.10,25.64,86,2263,74,195,862,10,1,5,34,1.38,International,England,Spin Bowler,Capped
Player_63,4.98,8.47,23.97,83,2507,94,170,761,14,0,4,29,0.36,International,Australia,Spin Bowler,Capped
Player_64,10.36,9.43,36.69,43,1827,82,109,344,2,0,1,28,6.39,International,South Africa,Pace Bowler,Capped
Player_65,7.48,7.65,24.17,189,3185,117,383,1270,10,2,6,27,0.97,International,Afghanistan,Spin Bowler,Capped
Player_66,13.19,8.80,21.96,142,3030,122,194,604,10,1,2,32,5.78,Domestic,India,Pace Bowler,Uncapped
Player_67,8.55,8.54,28.03,78,2097,116,139,884,6,0,6,34,7.71,International,India,Spin Bowler,Capped
Player_68,5.98,8.51,27.24,61,1481,114,108,412,7,0,1,25,1.09,International,Sri Lanka,Spin Bowler,Capped
Player_69,4.97,7.28,20.00,120,2678,120,233,1502,16,0,7,27,0.33,International,Australia,Spin Bowler,Capped
Player_70,3.74,7.44,26.18,25,633,41,59,249,2,0,0,25,1.80,International,Afghanistan,Spin Bowler,Capped
Player_71,10.02,8.54,21.59,165,3769,122,275,1377,14,1,2,34,6.10,International,South Africa,Pace Bowler,Capped
Player_72,18.51,8.76,24.06,123,3438,145,393,962,14,0,2,34,54.22,International,India,Pace Bowler,Capped
Player_73,5.13,7.10,21.99,125,2253,71,204,876,11,1,4,35,4.54,International,Sri Lanka,Spin Bowler,Capped
Player_74,5.59,8.78,34.65,29,1013,44,108,279,1,0,1,29,2.54,International,Netherlands,Pace Bowler,Capped
Player_75,4.25,7.62,23.09,186,3741,184,421,1443,16,1,10,37,0.05,International,West Indies,Pace Bowler,Capped
Player_76,3.28,7.79,25.62,146,3943,139,227,1287,14,1,7,35,0.37,International,Afghanistan,Spin Bowler,Uncapped
Player_77,5.34,8.20,21.53,284,6047,160,573,1671,23,7,6,32,1.15,International,Afghanistan,Pace Bowler,Capped
Player_78,3.39,7.40,23.40,194,2878,193,250,1238,14,1,5,36,0.00,International,Netherlands,Spin Bowler,Capped
Player_79,6.27,8.11,23.58,151,3196,114,289,997,10,1,3,41,3.33,International,New Zealand,Pace Bowler,Capped
Player_80,5.50,8.87,27.34,47,1505,49,158,298,6,0,1,28,2.17,International,South Africa,Pace Bowler,Capped
Player_81,6.39,8.08,19.24,399,7845,212,815,3044,42,6,17,33,2.69,International,Australia,Pace Bowler,Capped
Player_82,11.67,7.75,21.22,236,3536,197,353,1776,16,1,4,38,19.14,International,India,Spin Bowler,Capped
Player_83,28.86,11.65,50.53,21,988,46,115,248,2,0,1,30,3.96,International,India,Pace Bowler,Capped
Player_84,3.47,7.56,25.21,168,3431,180,275,1148,15,0,5,37,1.11,International,West Indies,Spin Bowler,Capped
Player_85,9.02,8.56,28.02,40,1056,38,116,268,4,0,1,28,7.95,International,India,Pace Bowler,Capped
Player_86,3.29,8.97,34.76,9,361,20,37,113,0,0,0,22,1.73,International,Australia,Pace Bowler,Capped
Player_87,8.92,7.74,22.29,189,2889,163,216,763,13,0,2,31,4.99,International,India,Spin Bowler,Capped
Player_88,5.64,9.24,24.74,97,2782,68,162,870,12,2,2,34,0.22,International,Sri Lanka,Pace Bowler,Capped
Player_89,4.95,8.20,23.25,215,3597,209,479,1496,22,0,5,34,0.05,International,Australia,Spin Bowler,Capped
Player_90,4.23,8.79,29.50,22,846,20,91,160,1,0,3,29,0.00,International,Ireland,Pace Bowler,Capped
Player_91,4.33,7.54,21.76,199,2904,173,367,1243,20,0,5,35,0.71,International,West Indies,Pace Bowler,Capped
Player_92,4.62,8.99,25.82,172,3455,93,243,1069,13,2,2,31,0.00,International,Afghanistan,Pace Bowler,Capped
Player_93,4.33,8.72,24.60,88,2362,99,243,567,7,0,2,25,0.00,International,Afghanistan,Spin Bowler,Capped
Player_94,4.28,8.65,30.37,59,1906,77,172,485,4,0,2,32,11.67,International,England,Pace Bowler,Capped
Player_95,5.57,8.91,24.45,189,4874,167,346,1298,15,0,2,33,30.36,International,India,Pace Bowler,Capped
Player_96,4.58,9.31,27.19,20,822,28,61,196,3,0,1,25,10.92,International,New Zealand,Pace Bowler,Capped
Player_97,7.84,9.33,30.93,25,502,29,45,168,1,0,1,28,1.78,International,South Africa,Pace Bowler,Capped
Player_98,11.72,8.40,23.81,64,2019,35,135,450,7,1,1,30,0.92,International,India,Spin Bowler,Uncapped
Player_99,5.44,8.45,33.25,22,849,43,56,161,1,0,0,29,0.31,International,Sri Lanka,Spin Bowler,Capped
Player_100,4.51,7.66,21.98,203,5259,204,438,1688,19,0,9,35,9.04,International,India,Pace Bowler,Capped
Player_101,13.72,7.92,26.45,60,1825,99,119,628,5,0,1,28,5.05,International,India,Spin Bowler,Capped
Player_102,3.73,7.42,26.69,195,4343,145,406,1505,20,0,4,29,1.57,International,England,Spin Bowler,Capped
Player_103,13.76,9.41,28.74,65,1666,65,162,388,11,0,2,33,11.71,International,India,Pace Bowler,Uncapped
Player_104,9.13,9.05,24.31,96,1658,67,127,508,6,1,2,37,2.04,International,Australia,Pace Bowler,Uncapped
Player_105,28.53,11.47,40.19,9,396,32,47,123,2,0,0,28,0.30,Domestic,India,Pace Bowler,Capped
Player_106,3.85,8.35,27.22,26,983,52,103,387,2,0,1,33,0.54,International,Netherlands,Pace Bowler,Capped
Player_107,4.32,9.03,32.32,62,1752,87,136,459,5,0,1,30,1.32,International,New Zealand,Pace Bowler,Capped
Player_108,6.03,8.72,20.08,86,1252,113,155,367,12,0,1,33,2.57,International,South Africa,Pace Bowler,Capped
Player_109,6.60,7.96,23.84,89,1540,95,181,518,9,0,1,33,0.80,International,New Zealand,Spin Bowler,Capped
Player_110,5.78,9.47,19.48,54,939,41,79,385,10,0,0,24,0.49,International,Australia,Pace Bowler,Capped
Player_111,6.66,8.91,20.70,208,4444,131,490,1602,23,2,3,32,1.65,International,India,Pace Bowler,Capped
Player_112,11.13,9.55,32.92,36,924,59,73,260,2,0,0,28,1.65,International,Sri Lanka,Pace Bowler,Capped
Player_113,5.03,7.86,23.53,24,876,49,65,275,3,0,0,28,0.00,International,New Zealand,Pace Bowler,Capped
Player_114,6.62,7.55,23.47,177,3673,121,313,1778,8,2,5,34,4.13,International,West Indies,Spin Bowler,Capped
Player_115,3.89,7.39,23.65,112,4185,131,266,834,8,0,4,34,0.04,International,Australia,Spin Bowler,Capped
Player_116,5.20,8.69,27.84,100,2537,149,232,705,5,0,2,31,2.98,International,England,Pace Bowler,Capped
Player_117,4.73,7.75,23.30,108,3733,152,233,1249,8,1,2,32,1.38,International,Sri Lanka,Spin Bowler,Capped
Player_118,4.25,7.78,27.99,36,1131,51,113,339,4,0,0,29,2.94,International,Netherlands,Spin Bowler,Capped
Player_119,5.04,9.09,28.60,68,2322,97,156,571,7,0,1,34,0.00,International,USA,Pace Bowler,Capped
Player_120,12.81,8.32,21.48,194,3668,162,335,1127,13,1,3,37,11.38,International,India,Spin Bowler,Capped
Player_121,4.90,8.00,21.29,960,14869,379,466,3269,47,20,9,38,0.29,International,Afghanistan,Spin Bowler,Capped
Player_122,3.62,7.61,25.14,90,2390,87,190,831,11,0,4,34,2.34,International,South Africa,Pace Bowler,Capped
Player_123,6.45,8.33,22.73,42,1086,84,137,385,4,0,2,31,2.51,International,Sri Lanka,Pace Bowler,Capped
Player_124,4.75,8.32,22.82,132,3617,110,192,888,12,0,5,35,2.51,International,South Africa,Spin Bowler,Capped
Player_125,3.68,7.88,22.42,258,4726,301,407,1959,21,0,8,33,0.00,International,South Africa,Spin Bowler,Capped
Player_126,3.30,7.83,25.00,61,1452,54,77,342,4,0,2,30,0.47,International,England,Pace Bowler,Capped
Player_127,5.80,9.05,22.89,37,956,32,93,315,6,0,1,27,0.70,International,Sri Lanka,Pace Bowler,Capped
Player_128,7.55,9.10,18.53,32,667,31,77,202,4,0,2,27,0.14,International,England,Pace Bowler,Capped
Player_129,3.57,6.92,21.81,432,6656,295,814,3868,17,1,28,30,0.00,International,Afghanistan,Spin Bowler,Capped
Player_130,4.58,8.37,29.37,99,2374,118,167,664,7,0,0,41,0.34,International,South Africa,Spin Bowler,Capped
Player_131,8.50,9.47,27.83,61,1452,64,220,437,6,0,0,27,1.20,International,India,Spin Bowler,Capped
Player_132,6.60,8.07,20.84,149,4125,118,420,1140,15,1,3,36,4.03,International,South Africa,Pace Bowler,Capped
Player_133,5.40,8.18,24.21,68,2110,63,125,569,7,0,2,41,2.63,International,South Africa,Pace Bowler,Capped
Player_134,9.88,9.69,32.21,43,1707,63,141,293,2,0,0,32,4.26,International,India,Pace Bowler,Capped
Player_135,4.47,9.04,25.56,52,1795,41,98,301,5,0,0,35,0.32,International,Australia,Spin Bowler,Capped
Player_136,3.71,8.67,28.48,103,2336,82,251,822,8,0,2,34,0.81,International,Netherlands,Pace Bowler,Capped
Player_137,7.70,9.20,22.15,122,2674,119,237,619,11,1,2,33,7.01,International,South Africa,Pace Bowler,Capped
Player_138,4.46,7.70,21.24,197,3556,94,341,1142,19,2,5,33,0.07,International,West Indies,Spin Bowler,Capped
Player_139,21.60,8.29,28.43,176,4436,136,377,1388,8,0,5,34,8.22,Domestic,India,Spin Bowler,Capped
Player_140,6.05,8.36,18.13,148,2948,124,265,1239,15,4,3,32,1.02,International,Australia,Pace Bowler,Capped
Player_141,5.46,8.07,17.78,170,3852,218,254,963,20,1,4,37,0.86,International,Australia,Spin Bowler,Capped
Player_142,8.45,8.13,26.29,163,4733,152,372,1109,9,0,4,34,2.97,International,Netherlands,Spin Bowler,Uncapped
Player_143,7.02,9.85,31.42,3,144,4,9,22,0,0,0,26,0.00,International,Ireland,Pace Bowler,Capped
Player_144,11.82,7.93,24.18,181,3313,164,365,675,11,0,2,32,19.82,International,India,Spin Bowler,Capped
Player_145,8.03,7.72,22.44,103,2390,137,165,752,10,0,4,29,2.06,International,West Indies,Spin Bowler,Capped
Player_146,7.00,9.02,28.57,79,1823,64,188,539,8,2,2,32,4.93,International,England,Medium Pace Bowler,Capped
Player_147,8.03,8.52,19.41,131,2130,101,210,542,13,0,2,35,3.33,International,England,Spin Bowler,Capped
Player_148,5.08,7.27,19.76,221,3942,157,385,1515,21,2,8,30,0.12,International,England,Spin Bowler,Capped
Player_149,6.04,9.09,16.73,33,530,41,47,222,5,0,1,32,0.03,International,New Zealand,Pace Bowler,Capped
Player_150,5.04,8.33,22.31,189,4870,195,331,1879,19,1,9,35,1.32,International,Zimbabwe,Spin Bowler,Capped
Player_151,6.63,8.19,24.17,67,2052,99,135,762,8,0,4,31,4.11,International,South Africa,Pace Bowler,Capped
Player_152,13.73,9.67,23.85,89,2228,100,182,547,10,0,1,32,26.82,Domestic,India,Pace Bowler,Uncapped
Player_153,3.41,8.56,27.11,81,1926,61,168,680,6,0,2,34,0.22,International,Australia,Pace Bowler,Capped
Player_154,3.51,7.89,24.04,430,7485,361,524,2374,20,1,7,37,3.57,International,South Africa,Spin Bowler,Capped
Player_155,7.59,8.41,21.23,423,7707,325,615,2928,24,15,9,37,1.52,International,Afghanistan,Pace Bowler,Capped
Player_156,4.80,7.85,21.91,504,7043,373,431,2621,36,1,7,38,2.44,International,South Africa,Spin Bowler,Capped
Player_157,6.04,8.06,21.97,198,3575,191,227,1298,18,0,3,30,0.00,International,England,Spin Bowler,Capped
Player_158,6.24,8.37,21.30,102,1910,96,176,601,12,0,0,43,1.48,International,Afghanistan,Pace Bowler,Capped
Player_159,9.14,7.72,19.17,5,67,1,1,17,1,0,0,26,0.00,International,Ireland,Spin Bowler,Capped
Player_160,3.96,8.83,26.95,31,944,43,121,299,1,0,0,25,3.71,International,Sri Lanka,Pace Bowler,Capped
Player_161,6.33,9.85,37.36,23,637,34,69,163,1,0,0,32,1.22,International,Zimbabwe,Pace Bowler,Capped
Player_162,5.09,7.93,22.01,311,5832,230,421,1769,23,1,5,34,1.83,International,South Africa,Spin Bowler,Capped
Player_163,5.51,7.66,24.21,104,2522,79,231,912,10,0,3,27,10.10,International,Sri Lanka,Pace Bowler,Capped
Player_164,7.71,9.20,22.96,89,2083,114,255,570,6,1,2,29,6.12,International,India,Pace Bowler,Uncapped
Player_165,21.44,9.79,26.91,43,1100,66,106,250,5,0,1,31,5.32,Domestic,India,Pace Bowler,Uncapped
Player_166,4.82,7.94,22.81,229,2794,187,234,911,17,0,3,28,0.00,International,Australia,Spin Bowler,Capped
Player_167,6.42,9.04,25.42,24,890,29,38,166,2,1,1,29,0.00,International,New Zealand,Pace Bowler,Capped
Player_168,4.43,8.15,22.97,260,4073,117,328,2135,15,2,9,35,0.00,International,England,Medium Pace Bowler,Capped
Player_169,4.84,9.23,24.04,85,2452,70,205,660,11,1,0,30,0.00,International,Sri Lanka,Pace Bowler,Capped
Player_170,5.00,8.55,27.76,21,555,25,54,206,2,0,0,26,2.81,International,New Zealand,Pace Bowler,Capped
Player_171,5.08,8.09,24.32,15,499,26,49,239,2,0,0,32,1.00,International,Netherlands,Spin Bowler,Capped
Player_172,3.88,6.64,22.91,314,3432,154,483,2275,23,0,19,28,0.00,International,Sri Lanka,Spin Bowler,Capped
Player_173,8.07,9.59,35.74,34,1093,60,101,300,2,0,0,31,0.31,International,India,Pace Bowler,Uncapped
Player_174,4.00,8.58,26.99,137,2187,81,164,460,14,0,1,31,0.00,International,Australia,Pace Bowler,Capped
Player_175,5.26,8.14,17.69,90,3826,108,254,999,17,0,3,35,4.90,International,Netherlands,Pace Bowler,Capped
Player_176,5.68,8.84,23.85,75,1945,93,141,581,7,0,5,33,8.30,International,New Zealand,Pace Bowler,Capped
Player_177,9.23,12.21,48.49,5,246,13,20,49,0,0,0,29,0.28,International,India,Pace Bowler,Capped
Player_178,6.10,8.67,25.69,128,3321,126,271,906,11,0,1,37,6.43,International,Australia,Pace Bowler,Capped
Player_179,6.99,7.31,19.37,111,3214,97,261,888,8,1,4,25,1.62,International,Sri Lanka,Spin Bowler,Capped
Player_180,8.14,8.61,23.87,102,4242,131,286,1013,9,1,1,32,2.57,International,Australia,Pace Bowler,Capped
Player_181,24.31,9.56,31.45,53,1606,56,114,531,2,0,2,28,8.37,Domestic,India,Pace Bowler,Uncapped
Player_182,7.98,9.04,20.28,61,1035,68,115,480,10,0,1,25,0.22,International,Bangladesh,Pace Bowler,Uncapped
Player_183,5.28,7.98,20.87,322,5376,290,329,2243,26,5,9,38,0.14,International,New Zealand,Spin Bowler,Capped
Player_184,7.11,6.99,18.84,122,2529,106,152,718,14,1,5,34,4.82,International,Afghanistan,Spin Bowler,Capped
Player_185,4.03,6.99,24.12,47,914,27,52,313,5,0,2,32,0.00,International,South Africa,Spin Bowler,Capped
Player_186,6.25,8.09,18.53,49,1146,32,72,382,6,0,1,22,0.01,International,Nepal,Spin Bowler,Capped
Player_187,3.84,7.72,26.05,124,3396,117,176,1058,10,0,10,31,0.03,International,Netherlands,Spin Bowler,Capped
Player_188,5.72,7.85,22.74,139,3414,88,437,1517,15,4,4,33,7.55,International,Australia,Pace Bowler,Capped
Player_189,20.62,9.21,27.66,123,3868,171,367,1228,11,0,3,34,4.93,International,India,Spin Bowler,Uncapped
Player_190,11.18,7.11,21.67,53,1038,52,53,230,3,0,0,31,2.67,International,Netherlands,Spin Bowler,Uncapped
Player_191,5.36,8.49,19.07,619,10566,435,940,2464,51,12,4,37,1.38,International,Afghanistan,Pace Bowler,Capped
Player_192,4.43,8.51,27.94,32,1102,41,65,211,2,0,1,33,0.55,International,Australia,Spin Bowler,Capped
Player_193,11.33,9.66,37.30,23,956,39,66,234,3,0,1,32,2.20,International,India,Pace Bowler,Capped
Player_194,5.57,8.66,20.34,297,3950,217,382,1423,25,0,2,34,2.84,International,South Africa,Pace Bowler,Capped
Player_195,5.57,8.32,23.19,156,3322,150,369,1123,16,0,4,35,12.60,International,South Africa,Pace Bowler,Capped
Player_196,6.36,8.38,24.02,140,2460,158,252,1097,15,1,4,34,0.23,International,Australia,Pace Bowler,Capped
Player_197,3.69,6.30,21.03,1150,18188,559,1790,9966,55,1,79,32,0.00,International,South Africa,Spin Bowler,Capped
Player_198,9.61,9.40,25.79,70,2252,116,172,394,9,0,1,30,0.70,International,Australia,Pace Bowler,Capped
Player_199,4.98,7.75,23.55,117,2677,88,222,898,8,2,3,35,0.33,International,New Zealand,Pace Bowler,Capped
Player_200,9.17,8.93,15.52,15,314,10,15,67,2,0,0,26,0.00,Domestic,India,Spin Bowler,Uncapped
