Player,Category,Country,Role,Runs Scored,Batting Strike Rate,Batting Average,No of Sixes,No of Fours,Balls Faced,Total career dot balls played,No of Centuries Scored,No of Half Centuries Scored,Wickets Taken,3 Wicket Hauls,5 Wicket Hauls,Bowling Strike Rate,Bowling Economy,Bowling Average,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,Maidens Bowled,Age of the Player,Capped/Uncapped,Last Auction Price Sold (in Crs),5 Wicket hauls,No of Catches,No of Stumpings,No of Run Outs
Synthetic_Player_9,Domestic,India,Spin-All Rounder,510.58,129,19.23,21,48,401,135,0,2,14,1,0,3.15,9.06,44.49,683,41,43,171,0,28,Uncapped,2.5,,,,
Synthetic_Player_10,International,India,Spin-All Rounder,2331.42,139.83,26.21,114,173,1552,536,0,5,135,7,0,3.74,7.15,30.06,4260,192,275,1313,2,34,Capped,21.2,,,,
Synthetic_Player_11,International,Afghanistan,Fast-All Rounder,4034.41,163.23,22.33,217,253,2895,945,0,9,203,12,2,4.39,7.37,32.46,5459,178,295,1383,7,40,Capped,4.19,,,,
Synthetic_Player_12,International,Australia,Fast-All Rounder,3221.64,193.09,22.79,190,224,2245,741,0,10,111,5,1,4.37,8.44,32.47,3256,112,203,686,2,37,Capped,5.49,,,,
Synthetic_Player_13,Domestic,India,Spin-All Rounder,1207.27,152.4,23.97,45,102,898,298,0,3,38,4,0,3.77,8.54,38.52,1282,51,86,280,0,32,Uncapped,3.58,,,,
Synthetic_Player_14,International,South Africa,Spin-All Rounder,885.72,140.68,28.5,38,65,710,234,0,2,2,1,0,8.98,8.64,15.81,24,5,18,38,0,27,Uncapped,0.58,,,,
Synthetic_Player_15,International,Australia,Fast-All Rounder,2419.88,159.51,28.44,124,164,1674,555,0,7,209,23,1,5.79,8.4,32.53,5253,205,430,1314,3,34,Capped,3.58,,,,
Synthetic_Player_16,International,New Zealand,Spin-All Rounder,1455.11,148.57,29.39,60,115,1055,339,0,9,31,1,0,4.67,8.74,36.15,828,36,62,192,0,33,Capped,2.45,,,,
Synthetic_Player_17,International,New Zealand,Fast-All Rounder,621.62,168.11,25.8,31,52,449,121,0,1,87,10,1,6.66,9.25,22.78,1991,69,165,403,1,29,Capped,1.13,,,,
Synthetic_Player_18,International,New Zealand,Spin-All Rounder,2761.66,293.55,34.04,128,221,1999,577,0,17,28,1,0,4.61,8.17,27.94,772,36,45,217,0,34,Capped,1.3,,,,
Synthetic_Player_19,International,India,Fast-All Rounder,829.29,148.07,35.08,37,65,566,173,0,4,22,1,0,4.46,9.36,44.42,651,26,47,176,0,27,Capped,17.02,,,,
Synthetic_Player_20,International,India,Fast-All Rounder,201.62,127.99,14.83,19,5,99,51,0,0,42,2,0,4.88,8.89,32.71,1445,65,120,328,2,32,Uncapped,0.95,,,,
Synthetic_Player_21,International,India,Spin-All Rounder,1269.26,139.56,18.1,54,119,1141,356,0,3,132,10,0,4.92,7.99,26.95,3695,130,267,897,3,35,Capped,4.14,,,,
Synthetic_Player_22,International,India,Spin-All Rounder,714.74,123.58,16.7,33,34,584,200,0,1,83,3,1,4.74,7.72,24.95,2351,96,144,603,2,33,Capped,2.09,,,,
Synthetic_Player_23,International,England,Fast-All Rounder,1031.52,176.68,23.24,59,77,788,234,0,3,75,6,0,5.03,9.48,31.31,2229,77,183,416,0,28,Capped,3.02,,,,
Synthetic_Player_24,International,India,Fast-All Rounder,488.77,143.79,13.63,18,28,340,117,0,1,126,9,0,5.4,8.87,27.21,3553,136,309,886,3,36,Uncapped,3.04,,,,
Synthetic_Player_25,International,Netherlands,Fast-All Rounder,952.05,155.36,17.86,48,73,715,254,0,4,156,15,0,5.36,8.35,27.46,4005,153,343,1036,3,35,Capped,4.24,,,,
Synthetic_Player_26,International,England,Fast-All Rounder,911.31,139.81,20.56,47,64,661,246,0,3,68,5,0,5.04,8.67,27.29,1916,71,162,448,1,28,Capped,0.03,,,,
Synthetic_Player_27,International,Australia,Fast-All Rounder,2186.64,141.9,25.18,114,169,1563,528,0,9,81,4,0,4.82,8.51,29.95,2389,91,173,516,1,33,Capped,3.52,,,,
Synthetic_Player_28,International,Sri Lanka,Spin-All Rounder,368.92,146.9,21.22,8,40,240,88,0,2,10,1,0,4.57,6.54,23.28,124,0,15,18,1,29,Capped,0.03,,,,
Synthetic_Player_29,International,New Zealand,Fast-All Rounder,1595.09,137.92,32.34,70,121,1128,339,0,9,37,1,0,5.43,9,31.16,953,38,79,195,0,34,Capped,2.14,,,,
Synthetic_Player_30,International,New Zealand,Spin-All Rounder,2570.85,187.76,34.13,86,219,1834,564,0,18,26,3,0,4.24,8.15,34.78,723,29,62,263,0,33,Capped,0.97,,,,
Synthetic_Player_31,International,New Zealand,Spin-All Rounder,2096.13,178.62,28.89,97,170,1441,490,1,13,37,1,0,4.82,8.96,32.35,1114,48,71,268,0,35,Capped,3,,,,
Synthetic_Player_32,International,South Africa,Fast-All Rounder,690.25,189.71,26.22,34,51,475,149,0,2,44,4,0,9.69,8.73,17.43,940,31,88,236,1,27,Capped,2.61,,,,
Synthetic_Player_33,International,India,Spin-All Rounder,441.15,115.12,18.49,17,25,381,131,0,1,52,2,0,4.25,7.78,29.7,1489,66,99,407,1,31,Capped,1.36,,,,
Synthetic_Player_34,International,India,Fast-All Rounder,417.28,142.2,15.09,20,29,285,106,0,1,83,7,0,5.34,8.54,24.01,2238,85,209,582,2,29,Uncapped,1.77,,,,
Synthetic_Player_35,International,India,Spin-All Rounder,288.41,135.2,17.57,10,19,228,76,0,1,28,1,0,4.52,8.03,30.42,934,47,74,232,1,27,Uncapped,1.74,,,,
Synthetic_Player_36,International,USA,Fast-All Rounder,1229.87,213.97,35.12,54,95,885,247,0,7,19,1,0,6.03,10.29,29.19,593,21,67,106,0,30,Uncapped,0.58,,,,
Synthetic_Player_37,International,England,Spin-All Rounder,1030.2,142.2,13.89,60,109,1150,341,0,3,150,11,0,4.85,7.57,25.45,3835,138,232,997,5,33,Capped,4.84,,,,
Synthetic_Player_38,International,New Zealand,Fast-All Rounder,2022.48,129.86,23.55,107,142,1284,401,0,6,183,20,1,6.34,9.24,26.76,4613,155,395,955,1,33,Capped,1.24,,,,
Synthetic_Player_39,International,Sri Lanka,Spin-All Rounder,585.86,129.63,24.91,27,50,455,154,0,4,18,1,0,5.07,8.92,33.51,592,22,42,149,0,30,Capped,2.34,,,,
Synthetic_Player_40,International,Afghanistan,Spin-All Rounder,2181.45,150.88,22.7,119,159,1697,580,0,6,147,7,0,4.49,7.32,26.98,3973,147,240,1123,5,36,Capped,4.88,,,,
Synthetic_Player_41,International,West Indies,Spin-All Rounder,2148.35,170.92,21.45,110,181,1671,588,0,8,151,7,0,4.27,7,26.42,4022,146,241,1249,5,38,Capped,5.72,,,,
Synthetic_Player_42,International,Netherlands,Fast-All Rounder,784.89,150.31,16.8,52,72,761,251,0,3,146,15,0,5.5,7.94,23.39,3439,129,280,946,5,31,Capped,4.3,,,,
Synthetic_Player_43,International,New Zealand,Spin-All Rounder,1180.91,151.29,24.4,41,99,904,321,0,5,42,1,0,4.12,7.74,32.05,1357,56,85,355,1,35,Capped,0.43,,,,
Synthetic_Player_44,International,India,Fast-All Rounder,2314.64,191.41,25.67,123,181,1665,510,0,8,102,7,0,5.36,9.2,28.27,2867,98,223,530,0,33,Capped,6.22,,,,
Synthetic_Player_45,International,England,Fast-All Rounder,728.06,138.86,25.24,35,54,574,184,0,3,44,3,0,5.01,9.08,32.45,1363,47,106,283,1,28,Capped,0.7,,,,
Synthetic_Player_46,International,India,Spin-All Rounder,1089.35,148.66,24.32,43,90,827,270,0,5,26,2,0,3.49,8.78,43.87,960,41,64,202,0,31,Capped,3.74,,,,
Synthetic_Player_47,International,Australia,Fast-All Rounder,2591.68,328.82,23.8,138,197,1864,611,0,11,109,5,0,5.02,9.22,30.28,3088,101,206,567,0,35,Capped,0.72,,,,
Synthetic_Player_48,International,Australia,Fast-All Rounder,1548.19,200.99,25.48,93,122,1086,333,0,4,168,21,2,6.28,8.26,28.67,3542,128,312,977,5,28,Capped,4.53,,,,
Synthetic_Player_49,International,Australia,Fast-All Rounder,1523.89,134.74,28.79,70,121,1062,355,1,10,46,2,0,5.62,9,30.12,1148,52,98,249,1,34,Capped,5.43,,,,
Synthetic_Player_50,International,England,Spin-All Rounder,660.16,140.07,28.2,33,50,468,163,0,4,20,1,0,5.13,8.78,30.03,551,21,39,134,0,29,Capped,2.54,,,,
Synthetic_Player_51,International,South Africa,Spin-All Rounder,831.38,161.33,24.62,41,63,557,210,0,3,49,1,0,6.5,7.58,19.58,1048,37,83,312,2,29,Capped,1.16,,,,
Synthetic_Player_52,International,Netherlands,Fast-All Rounder,1607.12,165.45,22.81,81,120,1233,410,0,6,105,9,0,5.31,8.37,23.83,2765,100,238,681,2,30,Capped,0.48,,,,
Synthetic_Player_53,International,West Indies,Spin-All Rounder,2212.97,168.66,25.46,99,181,1603,561,0,12,75,4,0,4.23,7.51,27.36,2067,88,134,634,2,33,Capped,1.73,,,,
Synthetic_Player_54,International,Netherlands,Fast-All Rounder,945.89,88.89,29.91,42,61,762,239,0,4,21,2,0,7.77,8.36,17.76,382,11,22,99,0,27,Uncapped,0.14,,,,
Synthetic_Player_55,International,New Zealand,Fast-All Rounder,1751.4,170.17,29.22,67,145,1276,395,0,10,35,1,0,4.39,8.87,35.65,1153,43,86,233,0,34,Capped,1.25,,,,
Synthetic_Player_56,International,USA,Fast-All Rounder,1639.6,147.03,30.31,74,123,1249,409,0,9,28,2,0,5.04,7.95,26.24,742,28,61,190,0,31,Capped,0.48,,,,
Synthetic_Player_57,International,New Zealand,Fast-All Rounder,2001.81,230.98,33.58,99,162,1430,428,1,12,30,1,0,5.23,8.5,24.94,799,33,63,197,0,35,Capped,2.82,,,,
Synthetic_Player_58,International,West Indies,Fast-All Rounder,580.39,130.65,18.29,31,36,383,149,0,1,82,5,1,5.7,7.82,21.3,1896,74,142,574,3,30,Capped,2.05,,,,
Synthetic_Player_59,International,West Indies,Fast-All Rounder,2019.52,141.26,25.45,106,150,1375,465,0,9,88,5,0,5.2,8.88,28.71,2484,89,206,503,0,32,Capped,0.93,,,,
Synthetic_Player_60,International,South Africa,Spin-All Rounder,1896.52,188.47,32.35,69,166,1364,418,0,14,1,1,0,3.1,9.51,50.56,293,12,24,77,1,30,Capped,2.49,,,,
Synthetic_Player_61,International,New Zealand,Fast-All Rounder,1710.05,165.66,36.01,85,124,1199,324,0,9,26,1,0,5.81,9.06,26.08,634,25,52,118,0,35,Capped,1.97,,,,
Synthetic_Player_62,Domestic,India,Spin-All Rounder,492.17,112.04,18.59,26,32,423,144,0,1,34,2,0,3.76,9.15,40.41,1397,66,91,287,1,30,Uncapped,1.61,,,,
Synthetic_Player_63,International,Australia,Spin-All Rounder,2935.35,159.63,24.93,158,243,2062,708,0,16,58,1,0,3.82,8.59,35.01,1963,69,110,392,0,38,Capped,3.78,,,,
Synthetic_Player_64,International,India,Spin-All Rounder,377.19,125.87,15.7,13,29,324,112,0,0,59,4,0,4.68,8.12,27.54,1665,71,136,429,2,29,Uncapped,2.27,,,,
Synthetic_Player_65,International,England,Fast-All Rounder,1292.73,146.58,23.32,66,94,925,301,0,3,95,7,1,5.3,8.11,23.74,2453,82,191,636,2,28,Capped,3.58,,,,
Synthetic_Player_66,International,Ireland,Fast-All Rounder,362.26,144.73,23.04,14,27,300,111,0,2,20,1,0,5.16,7.97,26.78,586,19,40,155,0,27,Capped,0.24,,,,
Synthetic_Player_67,International,India,Fast-All Rounder,2792.04,215.1,26.66,143,215,2049,615,0,10,127,10,1,5.36,9.06,28.95,3530,119,261,679,1,33,Capped,7.07,,,,
Synthetic_Player_68,International,Australia,Fast-All Rounder,1393.69,523.64,31.42,64,103,1015,334,0,6,35,2,0,5.85,8.58,23.82,955,32,78,252,0,30,Capped,0.87,,,,
Synthetic_Player_69,International,Sri Lanka,Spin All Rounder,730.2,132.4,21.14,30,60,575,213,0,3,19,1,0,3.62,7.05,33.9,606,26,45,180,1,29,Capped,0.75,,,,
Synthetic_Player_70,International,India,Spin-All Rounder,1702.71,145.83,23.35,78,103,1200,401,0,3,106,3,0,4.24,7.47,27.16,3152,137,197,891,2,32,Capped,10.91,,,,
